"Date","ADS","AIR","ALV","BAS","BAYN","BMW","BNR","CON","X1COV","DBK","DB1","DTE","DHL","EOAN","FRE","HEI","HEN3","IFX","MBG","MRK","MTX","MUV2","PAH3","QIA","RWE","SAP","SRT3","SIE","SHL","SY1","VOW3","VNA","ZAL","RHM","CBK","P911","ENR","BEI","DTG","HNR1"
2023-05-31,151.039505004883,121.192253112793,189.852569580078,41.4534225463867,51.9306793212891,95.9771423339844,69.1376647949219,60.0877418518066,36.060001373291,9.20706748962402,158.095291137695,20.0382022857666,40.0954132080078,10.8626651763916,25.5900001525879,64.8731994628906,72.6775054931641,34.3627624511719,64.7252349853516,160.390533447266,213.916931152344,322.16162109375,46.9156227111816,42.183723449707,37.9395523071289,120.653617858887,312.87060546875,149.095108032227,51.9180755615234,98.9038925170898,107.836502075195,16.6213188171387,27.0400009155273,233.816635131836,8.96934127807617,111.550682067871,23.7399997711182,118.271308898926,25.8844604492188,199.168045043945
2023-06-01,150.281829833984,124.535079956055,193.858856201172,41.8594131469727,51.6916427612305,97.4650192260742,69.8537292480469,61.0525436401367,36.3499984741211,9.30617237091064,160.102081298828,20.3279800415039,40.3099555969238,10.8770713806152,25.75,66.1923904418945,72.6385040283203,35.1790390014648,65.4581146240234,161.770233154297,216.097732543945,327.659606933594,47.2048873901367,42.5934677124023,37.910457611084,121.344871520996,320.355560302734,152.342636108398,52.3499069213867,99.9623794555664,109.224006652832,16.4275970458984,26.4799995422363,236.388229370117,9.2247724533081,111.550682067871,24.0699996948242,118.420204162598,25.9576320648193,204.341232299805
2023-06-02,159.035140991211,126.98779296875,199.507537841797,43.6700553894043,52.3987922668457,99.9699172973633,71.1162567138672,64.3328628540039,38.6699981689453,9.58211326599121,162.108856201172,18.485954284668,40.886833190918,10.8722686767578,26.2299995422363,67.7831802368164,72.9310150146484,35.4263954162598,67.0166473388672,164.677474975586,217.782897949219,330.456817626953,48.9585723876953,43.412956237793,38.1432189941406,122.806381225586,332.830474853516,154.870666503906,52.8013648986816,99.9623794555664,112.424499511719,17.2848148345947,27.1200008392334,237.476211547852,9.33591461181641,113.327430725098,24.3999996185303,119.76025390625,26.8082523345947,204.142272949219
2023-06-05,157.81884765625,125.306495666504,199.317672729492,43.4320602416992,51.910758972168,100.233589172363,71.0785675048828,64.7573776245117,38.439998626709,9.42082405090332,159.661560058594,18.7738018035889,40.5244979858398,10.8386535644531,25.9200000762939,67.7055816650391,72.6970062255859,35.0009422302246,66.8311080932617,165.90934753418,215.998596191406,326.598571777344,49.8986930847168,42.7733535766602,37.9298553466797,121.542373657227,332.830474853516,154.131713867188,52.4284172058105,98.0135803222656,113.349502563477,17.1298370361328,26.0900001525879,233.816635131836,9.26571941375732,113.71159362793,24.2000007629395,118.469833374023,26.9180107116699,201.157730102539
2023-06-06,159.194641113281,125.979019165039,199.839813232422,43.6420555114746,52.0701141357422,100.478424072266,71.2293167114258,64.3328628540039,38.6699981689453,9.50632667541504,160.248901367188,18.5980014801025,40.2765846252441,10.8050374984741,25.8799991607666,68.0741806030273,72.9310150146484,35.1345138549805,66.8218307495117,168.028167724609,219.567184448242,324.090728759766,49.8986930847168,42.9132652282715,38.3177833557129,121.858375549316,342.311401367188,153.976135253906,52.3499069213867,99.2204513549805,114.736999511719,17.405891418457,25.5100002288818,232.629745483398,9.37491130828857,111.694747924805,24.3700008392334,118.370574951172,27.0460605621338,199.466506958008
2023-06-07,158.775924682617,125.128479003906,198.273376464844,43.3527297973633,51.9207191467285,100.647926330566,71.248161315918,64.9696273803711,39.0299987792969,9.53353214263916,159.563659667969,18.3526554107666,40.1097145080566,10.9154891967773,25.8799991607666,68.753173828125,73.1845092773438,36.2030944824219,67.2300186157227,166.599197387695,219.368942260742,317.628204345703,49.989086151123,42.003833770752,38.075325012207,121.957130432129,342.211578369141,154.073379516602,51.6432685852051,96.1933822631836,115.014495849609,17.6238288879395,24.8299999237061,233.915542602539,9.57769680023193,112.222969055176,24.3099994659424,117.229049682617,27.3936252593994,192.452835083008
2023-06-08,158.536651611328,125.148262023926,198.320846557617,43.7447204589844,51.7414398193359,101.66495513916,71.5119781494141,66.2238693237305,39.1199989318848,9.58308410644531,160.493637084961,18.2154922485352,40.4577484130859,10.8818731307983,26,70.2469635009766,74.1595230102539,36.2624626159668,67.7216949462891,166.747009277344,219.368942260742,317.724639892578,50.4049110412598,42.2836608886719,37.9977416992188,122.055877685547,332.531066894531,154.365051269531,51.5451278686523,95.2635040283203,116.328002929688,17.5414981842041,24.6499996185303,233.816635131836,9.63229274749756,112.751190185547,23.7999992370605,116.881637573242,28.0430240631104,192.204132080078
2023-06-09,159.513671875,126.98779296875,197.418960571289,42.9560661315918,50.944652557373,101.777961730957,68.3462295532227,66.4554214477539,39.0499992370605,9.56365203857422,161.325714111328,18.397087097168,39.8570327758789,10.949104309082,25.8299999237061,69.7425689697266,72.8920135498047,36.440559387207,67.3506164550781,166.1064453125,223.135787963867,311.937316894531,51.0376853942871,42.1437492370605,38.6281318664551,121.660873413086,327.740692138672,153.762222290039,51.368465423584,91.1284942626953,116.80899810791,18.0936031341553,24.3400001525879,237.871841430664,9.57769680023193,112.078903198242,23.7199993133545,116.33568572998,27.9698524475098,188.373977661133
2023-06-12,168.326797485352,128.075698852539,198.036041259766,43.2080612182617,50.9048156738281,103.717842102051,69.7783508300781,67.3044509887695,39.9300003051758,9.5762825012207,161.472549438477,18.3584518432617,40.1573944091797,10.9106864929199,25.4400005340576,70.8095626831055,73.2625122070312,37.4250373840332,68.2783126831055,166.549926757812,227.199996948242,313.577087402344,51.363109588623,42.4035835266113,38.4729537963867,122.134880065918,336.622833251953,156.329147338867,51.7414131164551,90.3371047973633,119.787498474121,17.9773693084717,24.7199993133545,246.377868652344,9.66348934173584,112.799209594727,23.8899993896484,117.725364685059,28.5918121337891,190.164688110352
2023-06-13,172.274765014648,128.629547119141,198.368316650391,43.6513900756836,51.0741310119629,105.525886535645,69.8725738525391,68.1534729003906,41.060001373291,9.58016872406006,163.430389404297,18.2579936981201,40.9774169921875,10.8530597686768,25.3400001525879,70.9841613769531,73.301513671875,37.9791145324707,69.0019073486328,166.057174682617,228.290405273438,313.673553466797,52.0681991577148,42.5734786987305,38.4341659545898,123.69514465332,336.323425292969,159.907272338867,52.1143569946289,89.7831344604492,121.027000427246,17.6722602844238,25.3600006103516,245.190963745117,9.83702754974365,113.663566589355,23.7000007629395,118.717994689941,29.1040115356445,189.915985107422
